TestCondition,BallID,Name,BallSpeed,LaunchAngle,SpinRate,Time (s),ObservedCarry,SIMULATED
17,19,Ball-5-27PH.csv,270,10,47,7.7,303.8,300
18,19,Ball-5-27PH.csv,270,12,47,8.05,305.7,300
1,20,Ball-6-27PH.csv,254,10,42,7.16,290.5,300
2,20,Ball-6-27PH.csv,254,9,42,6.96,288.2,300
3,20,Ball-6-27PH.csv,254,11,42,7.34,292.2,300
4,20,Ball-6-27PH.csv,254,10,37,6.9,291.3,300
5,20,Ball-6-27PH.csv,254,9,37,6.68,288,300
6,20,Ball-6-27PH.csv,254,11,37,7.11,294,300
7,20,Ball-6-27PH.csv,254,10,52,7.46,281.9,300
8,20,Ball-6-27PH.csv,254,9,52,7.3,281,300
9,20,Ball-6-27PH.csv,254,11,52,7.6,282.6,300
10,20,Ball-6-27PH.csv,270,11,37,7.57,314.9,300
11,20,Ball-6-27PH.csv,270,10,37,7.37,312.7,300
12,20,Ball-6-27PH.csv,270,12,37,7.75,316.5,300
13,20,Ball-6-27PH.csv,270,11,33,7.34,315,300
14,20,Ball-6-27PH.csv,270,10,33,7.12,312,300
15,20,Ball-6-27PH.csv,270,12,33,7.54,317.4,300
16,20,Ball-6-27PH.csv,270,11,47,7.95,307.5,300
17,20,Ball-6-27PH.csv,270,10,47,7.8,306.8,300
18,20,Ball-6-27PH.csv,270,12,47,8.1,308,300
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
