Launch Conditions:,,,,,,
Ball Speed (ft/s),Launch Angle (degrees),Spin Rate (rps),,Environmental Conditions:,,
Ball-4-27PH.csv,254,11,52,7.72,289.5,298.5
Ball-4-27PH.csv,270,11,37,7.33,314.2,332.1
Ball-4-27PH.csv,270,10,37,7.1,310.8,332
Ball-4-27PH.csv,270,12,37,7.54,316.9,331.9
Ball-4-27PH.csv,270,11,33,7.02,311.5,333
Ball-4-27PH.csv,270,10,33,6.77,307.3,332.1
Ball-4-27PH.csv,270,12,33,7.25,315,333.4
Ball-4-27PH.csv,270,11,47,7.97,312.9,322.3
Ball-4-27PH.csv,270,10,47,7.78,311.6,323.5
Ball-4-27PH.csv,270,12,47,8.15,313.9,320.9
Ball-5-27PH.csv,254,10,42,6.99,285.9,305.4
Ball-5-27PH.csv,254,9,42,6.77,282.8,305.8
Ball-5-27PH.csv,254,11,42,7.2,288.3,304.6
Ball-5-27PH.csv,254,10,37,6.67,284.5,308.9
Ball-5-27PH.csv,254,9,37,6.43,280.4,308.5
Ball-5-27PH.csv,254,11,37,6.91,288,308.9
Ball-5-27PH.csv,254,10,52,7.43,280.6,291.5
Ball-5-27PH.csv,254,9,52,7.26,279.3,292.7
Ball-5-27PH.csv,254,11,52,7.59,281.5,290.2
Ball-5-27PH.csv,270,11,37,7.35,308.5,325.6
Ball-5-27PH.csv,270,10,37,7.13,305.5,325.9
Ball-5-27PH.csv,270,12,37,7.57,310.9,325
Ball-5-27PH.csv,270,11,33,7.07,306.9,327.6
Ball-5-27PH.csv,270,10,33,6.83,303,327.2
Ball-5-27PH.csv,270,12,33,7.3,310.1,327.6
Ball-5-27PH.csv,270,11,47,7.88,305,313.8
Ball-5-27PH.csv,270,10,47,7.7,303.8,315.1
Ball-5-27PH.csv,270,12,47,8.05,305.7,312.5
Ball-6-27PH.csv,254,10,42,7.16,290.5,306.8
Ball-6-27PH.csv,254,9,42,6.96,288.2,307.7
Ball-6-27PH.csv,254,11,42,7.34,292.2,305.7
Ball-6-27PH.csv,254,10,37,6.9,291.3,312.2
Ball-6-27PH.csv,254,9,37,6.68,288,312.4
Ball-6-27PH.csv,254,11,37,7.11,294,311.6
Ball-6-27PH.csv,254,10,52,7.46,281.9,291.3
Ball-6-27PH.csv,254,9,52,7.3,281,292.5
Ball-6-27PH.csv,254,11,52,7.6,282.6,290.1
Ball-6-27PH.csv,270,11,37,7.57,314.9,328.7
Ball-6-27PH.csv,270,10,37,7.37,312.7,329.5
Ball-6-27PH.csv,270,12,37,7.75,316.5,327.6
Ball-6-27PH.csv,270,11,33,7.34,315,332.2
Ball-6-27PH.csv,270,10,33,7.12,312,332.5
Ball-6-27PH.csv,270,12,33,7.54,317.4,331.6
Ball-6-27PH.csv,270,11,47,7.95,307.5,314.6
Ball-6-27PH.csv,270,10,47,7.8,306.8,315.8
Ball-6-27PH.csv,270,12,47,8.1,308,313.2
